Title,Sold_Date,Sold_Price,Bids,Card_Link,Image_Link
2018 Contenders Optic Sam Darnold #103 Red Rookie #/99 PSA 8 NM-MT AUTO 10,2021-02-14,104.50,26,https://www.ebay.com/itm/2018-Contenders-Optic-Sam-Darnold-103-Red-Rookie-99-PSA-8-NM-MT-AUTO-10/143935698791?hash=item21833c7767%3Ag%3AjewAAOSwNb9gGEvi&LH_Auction=1,https://i.ebayimg.com/thumbs/images/g/jewAAOSwNb9gGEvi/s-l225.jpg
2018 Contenders Optic Sam Darnold #RYASD Rookie #/35 PSA 8.5 NM-MT+ AUTO 10,2021-02-11,86.00,24,https://www.ebay.com/itm/2018-Contenders-Optic-Sam-Darnold-RYASD-Rookie-35-PSA-8-5-NM-MT-AUTO-10/154315241588?hash=item23ede7b874%3Ag%3AmqEAAOSw%7EtFgGEtT&LH_Auction=1,https://i.ebayimg.com/thumbs/images/g/mqEAAOSw~tFgGEtT/s-l225.jpg
2018 National Treasures Sam Darnold #102 Material Rookie #/99 PSA 7 NM AUTO 10,2021-02-07,66.00,34,https://www.ebay.com/itm/2018-National-Treasures-Sam-Darnold-102-Material-Rookie-99-PSA-7-NM-AUTO-10/154306687648?hash=item23ed6532a0%3Ag%3A4JUAAOSwby9gDzo8&LH_Auction=1,https://i.ebayimg.com/thumbs/images/g/4JUAAOSwby9gDzo8/s-l225.jpg
2018 Elite Draft Picks Collegiate Sam Darnold #101 Rookie #49 PSA 9 MINT AUTO 10,2021-02-07,67.00,35,https://www.ebay.com/itm/2018-Elite-Draft-Picks-Collegiate-Sam-Darnold-101-Rookie-49-PSA-9-MINT-AUTO-10/154306684480?hash=item23ed652640%3Ag%3ArVMAAOSwAK5gDzlc&LH_Auction=1,https://i.ebayimg.com/thumbs/images/g/rVMAAOSwAK5gDzlc/s-l225.jpg
2018 Contenders College Ticket Cracked Ice Josh Rosen RC Rookie AUTO /23 PSA 10,2021-02-15,81.00,19,https://www.ebay.com/itm/2018-Contenders-College-Ticket-Cracked-Ice-Josh-Rosen-RC-Rookie-AUTO-23-PSA-10/383944702688?hash=item5964e33ae0%3Ag%3AsTAAAOSwGmlgIZFn&LH_Auction=1,https://i.ebayimg.com/thumbs/images/g/sTAAAOSwGmlgIZFn/s-l225.jpg
2018 Panini Contenders Draft Ready Sam Darnold ROOKIE RC AUTO #101 PSA 10 GEM MT,2021-02-06,138.50,13,https://www.ebay.com/itm/2018-Panini-Contenders-Draft-Ready-Sam-Darnold-ROOKIE-RC-AUTO-101-PSA-10-GEM-MT/402672898487?hash=item5dc12cd1b7%3Ag%3AxxYAAOSwOtNgGIru&LH_Auction=1,https://i.ebayimg.com/thumbs/images/g/xxYAAOSwOtNgGIru/s-l225.jpg
2018 Contenders Josh Rosen Rookie Ticket Auto Autograph PSA 10 GEM MINT #106,2021-02-05,152.50,29,https://www.ebay.com/itm/2018-Contenders-Josh-Rosen-Rookie-Ticket-Auto-Autograph-PSA-10-GEM-MINT-106/203262668371?hash=item2f53662e53%3Ag%3AMFAAAOSwmRlfjF0b&LH_Auction=1,https://i.ebayimg.com/thumbs/images/g/MFAAAOSwmRlfjF0b/s-l225.jpg
2018 Contenders Football Josh Rosen Rookie Ticket Variation AUTO PSA 10 Gem Mint,2021-02-03,86.96,21,https://www.ebay.com/itm/2018-Contenders-Football-Josh-Rosen-Rookie-Ticket-Variation-AUTO-PSA-10-Gem-Mint/373441592841?hash=item56f2da7e09%3Ag%3AfGkAAOSwjXtf5jR-&LH_Auction=1,https://i.ebayimg.com/thumbs/images/g/fGkAAOSwjXtf5jR-/s-l225.jpg
2018 Panini Contenders Sam Darnold ROOKIE RC AUTO #103 PSA 10 GEM MINT,2021-02-06,522.12,45,https://www.ebay.com/itm/2018-Panini-Contenders-Sam-Darnold-ROOKIE-RC-AUTO-103-PSA-10-GEM-MINT/353373781517?hash=item5246b7fe0d%3Ag%3AoZMAAOSwFJVgGIrl&LH_Auction=1,https://i.ebayimg.com/thumbs/images/g/oZMAAOSwFJVgGIrl/s-l225.jpg
2018 Panini Contenders Draft Picks Sam Darnold ROOKIE RC AUTO #101 PSA 10 GEM MT,2021-01-25,151.00,24,https://www.ebay.com/itm/2018-Panini-Contenders-Draft-Picks-Sam-Darnold-ROOKIE-RC-AUTO-101-PSA-10-GEM-MT/353355260722?hash=item52459d6332%3Ag%3A6j8AAOSwh%7ERgAkSb&LH_Auction=1,https://i.ebayimg.com/thumbs/images/g/6j8AAOSwh~RgAkSb/s-l225.jpg
